City	FAA	IATA	ICAO	Airport	Role	Enplanements
Santa Rosa	STS	STS	KSTS	Charles M. Schulz–Sonoma County Airport	P-N	217,480
Charleston	CRW	CRW	KCRW	Yeager Airport	P-N	216,873
Bismarck	BIS	BIS	KBIS	Bismarck Municipal Airport	P-N	215,056
Christiansted, St. Croix	STX	STX	TISX	Henry E. Rohlsen Airport	P-N	212,812
Boulder City	BVU	BLD	KBVU	Boulder City Municipal Airport	P-N	205,690
Tri-Cities	TRI	TRI	KTRI	Tri-Cities Airport	P-N	200,086
Newport News	PHF	PHF	KPHF	Newport News/Williamsburg International Airport (Patrick Henry Field)	P-N	195,573
Durango	DRO	DRO	KDRO	Durango–La Plata County Airport	P-N	189,225
Monterey	MRY	MRY	KMRY	Monterey Regional Airport (was Monterey Peninsula Airport)	P-N	186,806
Lansing	LAN	LAN	KLAN	Capital Region International Airport (was Lansing Capital City)	P-N	184,018
Rochester	RST	RST	KRST	Rochester International Airport	P-N	182,509
Bloomington / Normal	BMI	BMI	KBMI	Central Illinois Regional Airport at Bloomington-Normal	P-N	178,057
Great Falls	GTF	GTF	KGTF	Great Falls International Airport	P-N	176,434
Eagle/Vail	EGE	EGE	KEGE	Eagle County Regional Airport	P-N	173,863
Idaho Falls	IDA	IDA	KIDA	Idaho Falls Regional Airport (Fanning Field)	P-N	161,019
Bethel	BET	BET	PABE	Bethel Airport (also see Bethel Seaplane Base)	P-N	160,110
Columbus	LCK	LCK	KLCK	Rickenbacker International Airport	P-N	154,475
Killeen	GRK	GRK	KGRK	Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield	P-N	154,328
State College	UNV	SCE	KUNV	University Park Airport	P-N	153,571
Kalamazoo	AZO	AZO	KAZO	Kalamazoo/Battle Creek International Airport	P-N	152,845
Jacksonville	OAJ	OAJ	KOAJ	Albert J. Ellis Airport	P-N	152,448
Belleville	BLV	BLV	KBLV	MidAmerica St. Louis Airport / Scott Air Force Base	P-N	152,278
Latrobe	LBE	LBE	KLBE	Arnold Palmer Regional Airport	P-N	151,410
Lincoln	LNK	LNK	KLNK	Lincoln Airport (was Lincoln Municipal)	P-N	150,214
Concord	JQF	USA	KJQF	Concord-Padgett Regional Airport	P-N	147,065
Alexandria	AEX	AEX	KAEX	Alexandria International Airport	P-N	141,173
Elmira / Corning	ELM	ELM	KELM	Elmira/Corning Regional Airport	P-N	141,075
Duluth	DLH	DLH	KDLH	Duluth International Airport	P-N	136,806
Ketchikan	KTN	KTN	PAKT	Ketchikan International Airport	P-N	135,389
Montrose	MTJ	MTJ	KMTJ	Montrose Regional Airport	P-N	133,924
Bullhead City	IFP	IFP	KIFP	Laughlin/Bullhead International Airport	P-N	131,294
Montgomery	MGM	MGM	KMGM	Montgomery Regional Airport (Dannelly Field)	P-N	129,033
Saginaw	MBS	MBS	KMBS	MBS International Airport	P-N	127,627
Nantucket	ACK	ACK	KACK	Nantucket Memorial Airport	P-N	126,610
Minot	MOT	MOT	KMOT	Minot International Airport	P-N	126,575
Mosinee	CWA	CWA	KCWA	Central Wisconsin Airport	P-N	124,632
Toledo	TOL	TOL	KTOL	Eugene F. Kranz Toledo Express Airport	P-N	123,541
St. George	SGU	SGU	KSGU	St. George Regional Airport	P-N	123,060
Columbia	COU	COU	KCOU	Columbia Regional Airport	P-N	120,235
Plattsburgh	PBG	PBG	KPBG	Plattsburgh International Airport	P-N	119,783
Niagara Falls	IAG	IAG	KIAG	Niagara Falls International Airport	P-N	119,182
Santa Fe	SAF	SAF	KSAF	Santa Fe Municipal Airport	P-N	115,787
Brownsville	BRO	BRO	KBRO	Brownsville/South Padre Island International Airport	P-N	115,711
Helena	HLN	HLN	KHLN	Helena Regional Airport	P-N	115,438
New Bern	EWN	EWN	KEWN	Coastal Carolina Regional Airport (was Craven County Regional)	P-N	111,172
Champaign / Urbana / Savoy	CMI	CMI	KCMI	University of Illinois - Willard Airport	P-N	109,878
Monroe	MLU	MLU	KMLU	Monroe Regional Airport	P-N	107,107
